track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
1mJMD1VIQ7jWTP9DK2zmY0,Kiss Somebody,6fzQ81ouajOEFqCIB9VwrS,Morgan Evans,2AQJVx5WiteEOyfmrY7Kgx,212445,2017-07-21,57,0.49200000000000005,0.6809999999999999,6,-7.037999999999999,1,0.075,0.14300000000000002,0.0,0.19899999999999998,0.511,178.01,37i9dQZF1DWYnwbYQ5HnZU,Country Gold
515UGTaaZQyCgthVxhWTbU,Burning Down,4v2DyasTOGK3Pv90w75yar,Striking Matches,2crKE8V3gDJVhribqhsPh9,189579,2019-05-03,44,0.6409999999999999,0.902,2,-3.917,1,0.0373,0.0053,0.0,0.0723,0.667,94.946,37i9dQZF1DWWH0izG4erma,Country Rocks
0UEEaSzF7KxvYFgcDsSeHn,A Few Good Stories,6VOaUBrKfzd49nIAzjVKmm,Brett Kissel,0St9qifWz0TIcWNm5YP1Xl,164960,2020-01-01,43,0.693,0.863,7,-4.073,1,0.0297,0.0617,0.0,0.0856,0.963,94.98299999999999,37i9dQZF1DWSK8os4XIQBk,All About Country
5GOLGi2dpY0oYwVmxZXjL8,Woulda Left Me Too,7dMEBGtGI6O7PoTEucAaBT,Ryan Griffin,5x6XbxDvWW3LMO5WLkw6c3,223880,2017-03-10,52,0.564,0.452,4,-8.588,1,0.0603,0.6729999999999999,0.00105,0.0923,0.17300000000000001,147.912,37i9dQZF1DWYiR2Uqcon0X,Country Coffeehouse
33471tzU1VghDg9zNgGRpz,Hotel Key,6y8XlgIV8BLlIg1tT1R10i,Old Dominion,66Y5XaoFSoa0A4P0u56s8V,166573,2017-08-25,68,0.758,0.867,11,-5.087,1,0.0475,0.152,0.0,0.308,0.9640000000000001,102.01799999999999,37i9dQZF1DWYnwbYQ5HnZU,Country Gold
0dlNwpfDzFIKdtuJSnHbzK,My Heroes Have Always Been Cowboys,5W5bDNCqJ1jbCgTxDD0Cb3,Willie Nelson,46xgry5j79IBHzX73dkgYU,183453,2015-10-16,47,0.387,0.322,2,-13.347999999999999,1,0.0378,0.18100000000000002,0.0145,0.205,0.258,114.762,37i9dQZF1DX6RCydf9ytsj,Country's Greatest Hits:  The '80s
55bwRyNowFFB5Kp0Ojkvhx,Busy Man,60rpJ9SgigSd16DOAG7GSa,Billy Ray Cyrus,3YomMpy1aJxvKHqZTwRZnH,197266,1998-01-01,41,0.6,0.568,7,-9.867,1,0.0388,0.106,0.0,0.23800000000000002,0.475,163.887,37i9dQZF1DXaiEFNvQPZrM,Country's Greatest Hits:  The '90s
5HnXcJJbNXQQ7tRlQ9VN1v,Good Girl,1dID9zgn0OV0Y8ud7Mh2tS,Dustin Lynch,1KetVV0MHdeWG0hDkehcHm,189533,2018-05-05,5,0.711,0.696,7,-5.05,1,0.0871,0.16,0.0,0.17,0.6940000000000001,80.512,37i9dQZF1DWYnwbYQ5HnZU,Country Gold
5Kpg1A7BOHpBbaT3H3xqd3,GOOD TIME,6Rw7DRa1dzChBvxGPCpOxU,Niko Moon,2jqg5j8kjADgqkFSDoTylY,214706,2020-02-14,68,0.79,0.6459999999999999,5,-5.877999999999999,1,0.0447,0.132,0.0,0.295,0.6409999999999999,138.047,37i9dQZF1DWXi7h4mmmkzD,Country Nights
3mM14WXoPaLRjjkmxHe99L,Coal Miner's Daughter - Single Version,1FE0rls8gfQT3laAeRYNgl,Loretta Lynn,2SayIIdZkrtb9I4BbdnyOr,180960,1971-01-01,44,0.604,0.354,9,-14.07,1,0.0313,0.836,0.00474,0.10300000000000001,0.635,137.349,37i9dQZF1DX6RCydf9ytsj,Country's Greatest Hits:  The '80s
