track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
7hoP5NDUXEbmOawvEAsi8h,'Di Na Babalik,5HIZU0JzM0AgfItVOm4E08,This Band,0pFRzLxgSt9QlXKuukR8A4,340262,2019-02-03,59,0.358,0.435,10,-7.265,1,0.0349,0.00819,0.000936,0.112,0.14,76.132
6BxJLJw228OY5BFerPGl7z,Dahan,4qFxP3qN9GsnZDOkAE6x2m,December Avenue,5ZMRUtgLCoeyhrDdRhSXij,297500,2019-02-14,62,0.516,0.529,10,-6.596,1,0.0257,0.318,0.0,0.198,0.295,129.973
2mwd0LWLBgtQBEOLG96nbU,Bagay Tayo,0WleeEe3UurwlNbDGhb5Yz,ALLMO$T,6r5Q4HTHG4DGcZ7mrfgaRw,397033,2018-12-04,61,0.804,0.557,0,-8.658,1,0.163,0.322,0.0,0.106,0.645,100.053
3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,246dkjvS1zLTtiykXe5h60,Post Malone,35s58BRTGAEWztPo9WqCIs,158040,2018-12-14,85,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911
3RauEVgRgj1IuWdJ9fDs70,The Man,06HL4z0CvFAxyc27GXpf02,Taylor Swift,1NAmidJlEaVgA3MpcPFYGq,190360,2019-08-23,79,0.777,0.658,0,-5.191,1,0.054,0.0767,0.0,0.0901,0.633,110.048
3xaugmCyXrVkrDTXbFkMW3,Sanctuary,3MZsBdqDrRTJihTHQrO6Dq,Joji,1cjgTku8zcYVHRi8QQH1XI,180018,2019-06-14,77,0.552,0.65,1,-7.199,1,0.128,0.422,0.000275,0.372,0.316,167.788
6TqXcAFInzjp0bODyvrWEq,Talk (feat. Disclosure),6LuN9FCkKOj5PcnpouEgny,Khalid,6KT8x5oqZJl9CcnM66hddo,197573,2019-04-05,76,0.901,0.4,0,-8.575,1,0.126,0.051,0.0,0.0599,0.346,135.984
14BG5B1EJSCyNpZt096xXc,"Patawad, Paalam",0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,4Lavp71TTVIdkw8yNY8LhA,323140,2019-06-14,58,0.472,0.288,2,-8.213,1,0.0318,0.865,1.01e-05,0.131,0.193,77.987
0Ryd8975WihbObpp5cPW1t,boyfriend (with Social House),66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,3zVB99XMdbP9HTVNg0GJwV,186106,2019-08-02,79,0.4,0.795,10,-3.731,0,0.461,0.119,0.0,0.159,0.702,190.097
5NXdUJ3Z2jhlp2u1cj6f7m,Balang Araw,7tKpXx21KVUOR6vvDs6xtg,I Belong to the Zoo,6HPFW4F5tgbVGfFatG5CUw,288207,2018-10-23,62,0.523,0.391,7,-9.283,1,0.0298,0.395,0.0,0.142,0.354,139.905
2YpeDb67231RjR0MgVLzsG,Old Town Road - Remix,7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,4IRiXE5NROxknUSAUSjMoO,157066,2019-06-21,83,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041
3iZB3VUDerY5P96rhBKwKr,Dalaga,0YrWkiT8pKvEu71t5Yllj7,Arvey,0JImrioMnXvn5H3mZezAjD,192940,2019-06-21,58,0.889,0.566,0,-5.942,0,0.0618,0.179,0.000537,0.0325,0.937,95.953
07JZJ9YJRaiUAz9Bv8wgwH,Mabagal,5yVM85m9yNcHO6o0vaaVxW,Daniel Padilla,662p02ErqQk9DvBL38lqH7,226727,2019-08-02,52,0.356,0.339,5,-10.893,0,0.0369,0.508,3.28e-06,0.355,0.287,74.975
5PYQUBXc7NYeI1obMKSJK0,Never Really Over,6jJ0s89eD6GaHleKKya26X,Katy Perry,3KjXg0MDej2pG9fv6I22lT,223523,2019-05-31,79,0.77,0.882,8,-4.792,1,0.0602,0.194,0.0,0.316,0.385,99.991
3EludUFeAoJAwSixWGG5Wg,Wrong,24CgJHK6T7C5OmUbiLLMjJ,Luh Kel,5gASTUDl3S2qgAF10JlwTc,130876,2019-04-05,10,0.745,0.728,0,-3.39,1,0.0423,0.352,0.0,0.228,0.39,120.099
00mBzIWv5gHOYxwuEJXjOG,Sa Ngalan Ng Pag-Ibig,4qFxP3qN9GsnZDOkAE6x2m,December Avenue,7xconhHQKj7Be4P2KvUmFz,285138,2017-04-29,66,0.518,0.762,7,-3.907,1,0.0305,0.0851,0.0,0.148,0.271,155.985
2Rk4JlNc2TPmZe2af99d45,ME! (feat. Brendon Urie of Panic! At The Disco),06HL4z0CvFAxyc27GXpf02,Taylor Swift,1NAmidJlEaVgA3MpcPFYGq,193000,2019-08-23,81,0.61,0.83,0,-4.105,1,0.0571,0.033,0.0,0.118,0.728,182.162
3id2EVGKc3eFAMn9nFnB0r,Love Someone,25u4wHJWxCA9vO0CzxAbK7,Lukas Graham,3r31ml7fFfNaoSSMH0sda9,205440,2018-10-26,65,0.538,0.409,9,-6.581,0,0.0505,0.172,0.0,0.11,0.265,171.838
43rA71bccXFGD4C8GOpIlN,I Forgot That You Existed,06HL4z0CvFAxyc27GXpf02,Taylor Swift,1NAmidJlEaVgA3MpcPFYGq,170640,2019-08-23,74,0.664,0.316,5,-10.345,1,0.519,0.298,2.03e-06,0.0812,0.541,92.875
4ve2uzqdwnHr20G5YgMMqr,Missin You Crazy,1z7b1Pr1rSlvWRzsW3HOrS,Russ,48Kac3ieDtt9OSp9Fm4g9e,226693,2018-09-07,74,0.716,0.729,5,-6.313,1,0.117,0.0991,0.0,0.0842,0.276,131.975
12M5uqx0ZuwkpLp5rJim1a,Cornelia Street,06HL4z0CvFAxyc27GXpf02,Taylor Swift,1NAmidJlEaVgA3MpcPFYGq,287266,2019-08-23,70,0.824,0.624,0,-9.728,1,0.0827,0.781,0.000189,0.1,0.248,102.012
1iWHabUgUuuKLBa0TzTHfk,"A Whole New World (End Title) - From ""Aladdin""",5ZsFI1h6hIdQRw2ti0hz81,ZAYN,1m8eXQqp3QCQyR56fgbm6o,242956,2019-05-09,74,0.302,0.414,2,-8.16,1,0.0319,0.0575,0.0,0.0861,0.105,110.508
6jZBYN0CFwshqb6i3m4HOL,Rawstarr 'Til I Die,1d8sE3eKAsuUHShVmIwK6d,Psychedelic Boyz,1QqdaslcqDElQ1Td4lXpXv,241423,2019-05-21,51,0.577,0.854,11,-4.13,1,0.262,0.0728,0.0,0.337,0.624,84.08
3vGkyQlCw8LklNip0ZUELC,Nobela,70ljCILl0aVXitf3K39YvT,Join The Club,7kzETZloUVbyQLuqDnLPVV,291506,2016-04-01,64,0.358,0.548,8,-5.998,1,0.027,0.36,0.0,0.173,0.518,163.434
7COXchtUOMd6uIT6HvmRaI,i'm so tired...,5JZ7CnR6gTvEMKX4g70Amv,Lauv,13yMsBNa2femeWzhcDOqFw,162582,2019-01-24,18,0.599,0.733,11,-7.058,1,0.203,0.176,0.0,0.242,0.534,102.211
5nMKJJ5Rl6X1yn58aVeICO,Bulong,4qFxP3qN9GsnZDOkAE6x2m,December Avenue,6anqXAk4NZxdkUwvpfUqsB,270233,2018-04-08,62,0.5,0.728,9,-5.472,0,0.0313,0.0319,0.0,0.0782,0.351,134.877
6Qs4SXO9dwPj5GKvVOv8Ki,Dancing With A Stranger (with Normani),2wY79sveU1sp5g7SokKOiI,Sam Smith,1V9oE8bVilClrk5naqyyvL,171029,2019-01-11,84,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998
4y5bvROuBDPr5fuwXbIBZR,Paper Rings,06HL4z0CvFAxyc27GXpf02,Taylor Swift,1NAmidJlEaVgA3MpcPFYGq,222400,2019-08-23,71,0.811,0.719,9,-6.553,1,0.0497,0.0129,1.36e-05,0.0742,0.865,103.979
58grXgbCj7t5ulr0TGLIr9,Kahit Ayaw Mo Na,5HIZU0JzM0AgfItVOm4E08,This Band,2sGiNJNhNMJbn56l0BE0R0,243015,2018-11-02,66,0.662,0.529,2,-8.539,1,0.0351,0.341,0.000208,0.105,0.424,127.584
