track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,predicted_genre_id,predicted_genre,predicted_genre_prob,predicted_classical_prob,predicted_country_prob,predicted_electronic_prob,predicted_folk_prob,predicted_hiphoprapcons_prob,predicted_jazz_prob,predicted_rock_prob
3AQrryq4mc956K3RtLZAFo,Tonight (I Wish I Was Your Boy),3mIj9lX2MWuHmhNCA7LSCW,The 1975,65l2wbCvQ1XGtZ4PbKqF2i,247265,2020-05-22,44,0.496,0.444,7,0.7318426144915072,1,0.0522,0.12300000000000001,1.67e-05,0.214,0.282,0.7716779424675929,6,rock,0.4,0.0,0.17142857142857143,0.14285714285714285,0.2,0.08571428571428572,0.0,0.4
6IdEQ3HUseBeRUYFSzSMdL,Zebbiana,117XFtbZPnCI1EYKjYZWJc,Skusta Clee,4AaygWd1ZnCzZ4ak9EM23s,304664,2019-07-26,64,0.677,0.433,8,0.6764996774887122,1,0.037000000000000005,0.545,0.0,0.105,0.498,0.5257062438671694,3,folk,0.4,0.0,0.2857142857142857,0.0,0.4,0.08571428571428572,0.17142857142857143,0.05714285714285714
39EXZNMxb4RBHlRjnRaOKp,Sweet Night,3JsHnjpbhX4SnySpvpa9DK,V,1q3j12Y1sp2eqqffSnyA93,214258,2020-03-13,79,0.462,0.33899999999999997,3,0.7012255428940013,1,0.025,0.495,8.15e-06,0.0893,0.149,0.25521613386355424,3,folk,0.4,0.05714285714285714,0.3142857142857143,0.0,0.4,0.02857142857142857,0.02857142857142857,0.17142857142857143
7vJS1DPc3FzBtqBs8n3mW5,Bad To You (with Normani & Nicki Minaj),66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,4NBuascXb3uK0mFUYuJ63f,171840,2019-11-01,65,0.727,0.583,7,0.725220382713395,0,0.0718,0.065,0.0,0.106,0.629,0.6159363218509528,6,rock,0.4,0.0,0.2857142857142857,0.08571428571428572,0.02857142857142857,0.2,0.0,0.4
2RttW7RAu5nOAfq6YFvApB,Happier,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,3T4tUhGYeRNVUGevb0wThu,207520,2017-03-03,82,0.522,0.385,0,0.7265104278649752,1,0.0288,0.536,0.0,0.135,0.23600000000000002,0.24027784950679132,1,country,0.4,0.02857142857142857,0.4,0.02857142857142857,0.2857142857142857,0.0,0.05714285714285714,0.2
0rKtyWc8bvkriBthvHKY8d,SLOW DANCING IN THE DARK,3MZsBdqDrRTJihTHQrO6Dq,Joji,34GQP3dILpyCN018y2k61L,209273,2018-10-26,84,0.515,0.479,3,0.7220812728445496,1,0.0261,0.544,0.00598,0.191,0.284,0.23493260341889166,3,folk,0.4,0.05714285714285714,0.3142857142857143,0.02857142857142857,0.4,0.0,0.05714285714285714,0.14285714285714285
15ahYSiHAIMxAnujlXVtta,Super Far,49tQo2QULno7gxHutgccqF,LANY,0HiwsXForePsWdIZW6EEkK,203650,2017-06-30,66,0.575,0.46,1,0.7486992044721565,1,0.182,0.0988,0.0,0.22699999999999998,0.462,0.28004441460517493,4,hiphoprapcons,0.4,0.02857142857142857,0.14285714285714285,0.0,0.08571428571428572,0.4,0.05714285714285714,0.2857142857142857
4NBTZtAt1F13VvlSKe6KTl,This Feeling,69GGBxA162lTqCwzJG5jLp,The Chainsmokers,6ZvDJs17O3woQirttKRYCG,197946,2018-12-14,77,0.575,0.5710000000000001,1,0.7028165985809502,1,0.0439,0.0558,0.0,0.0912,0.449,0.3387711098486804,1,country,0.4,0.0,0.4,0.0,0.05714285714285714,0.17142857142857143,0.02857142857142857,0.34285714285714286
2qLMf6TuEC3ruGJg4SMMN6,Lucky,4phGZZrJZRo4ElhRtViYdl,Jason Mraz,1UwzOp5hn3lAbOqsAfXBw8,191360,2008-05-01,68,0.623,0.41700000000000004,0,0.6687164050741776,1,0.0354,0.29600000000000004,0.0,0.135,0.721,0.5000516448897382,6,rock,0.4,0.0,0.37142857142857144,0.0,0.11428571428571428,0.02857142857142857,0.08571428571428572,0.4
7xty20N3DMTVOVtDIS2Jov,"Dying Inside To Hold You - From "" All Of You"" Official Soundtrack",0u4G1K1CSzcp5PZ6G6FIGu,Darren Espanto,55sWjGP1ghylhmMX3N17LU,236283,2017-12-15,60,0.556,0.625,0,0.7341216942592991,1,0.037000000000000005,0.336,0.0,0.11,0.40299999999999997,0.33789314672313175,3,folk,0.4,0.0,0.37142857142857144,0.0,0.4,0.02857142857142857,0.02857142857142857,0.17142857142857143
